Netid, Fid, LB_FF
3, 205, 5.352901681211312
3, 202, 8.557925305543957
3, 58, 4.541280181512926
3, 50, 16.262074780174686
3, 75, 7.847024319771904
3, 211, 0.5463279162301368
3, 139, 12.398684337823884
3, 165, 0.9856220558874178
3, 207, 6.415714752985638
3, 44, 7.504130049856138
3, 212, 10.29468878919925
3, 187, 3.9271303088170955
3, 71, 1.4165070349472662
3, 214, 8.247613576115047
3, 14, 6.682270510033627
3, 55, 8.079310161920196
3, 166, 6.284807000207106
3, 206, 7.0513878597283925
3, 125, 4.511726821235998
3, 128, 6.076368973042836
3, 8, 4.455029973882607
3, 94, 12.858536695199735
3, 34, 2.04234266873355
3, 162, 14.667747388108808
3, 224, 5.120041647887913
3, 99, 10.613719133778698
3, 85, 10.7151894846408
3, 54, 9.558955518400928
3, 45, 10.275532209184322
3, 40, 0.9426117930166457
3, 66, 5.414935923899127
3, 127, 2.186638364260582
3, 73, 6.3324048156744315
3, 158, 2.5233020358798757
3, 181, 19.47287255993402
3, 97, 12.398684337823884
3, 164, 6.441268996864795
3, 114, 3.294917012511109
3, 209, 8.06677488821
3, 102, 7.898268767831765
3, 92, 4.979483818602872
3, 9, 6.25759800823832
3, 222, 6.988192631701324
3, 93, 7.85264151264502
3, 11, 6.793538489571302
3, 140, 0.7331811381801726
3, 79, 8.160559206098988
3, 84, 1.8043466757064508
3, 221, 5.424145457189907
3, 63, 12.36545948266184
3, 185, 13.486812796480082
3, 101, 5.681534884567768
3, 174, 11.28820194009354
3, 150, 7.043634072372742
3, 53, 1.3098016520705675
3, 10, 4.605994034407943
3, 154, 4.927947760719137
3, 149, 14.901805519112228
3, 17, 2.9523753685032843
3, 33, 8.818799603547978
3, 126, 4.210872976103254
3, 190, 5.599968961681183
3, 172, 1.31108339074286
3, 143, 8.238254920338248
3, 213, 8.149551604272787
3, 76, 1.408099241592347
3, 196, 0.8196792982116715
3, 228, 7.346051148444518
3, 89, 5.711838564342876
3, 129, 5.372279281006868
3, 83, 15.604641456114775
3, 91, 7.102471356920552
3, 179, 5.128062864095814
3, 123, 11.873852405992755
3, 37, 2.5537617362426097
3, 35, 0.836616380783526
3, 103, 5.423247446197748
3, 96, 11.069055793393321
3, 199, 5.862367701396186
3, 74, 5.892578791376398
3, 70, 8.171417270190352
3, 117, 8.055695190384212
5, 5, 3.1678181811349138
5, 11, 1.2689375501504867
5, 10, 1.460266405159882
5, 0, 1.2279892485907045
5, 6, 1.3418461454678359
5, 15, 1.3418461454678359
5, 2, 1.996754663664949
5, 3, 1.0725212786255887
5, 9, 2.2283888782118373
5, 7, 1.7962940263253313
5, 13, 2.4909046115257016
5, 1, 1.4007796583207957
5, 16, 1.123170977845781
5, 8, 1.8331954559126507
5, 12, 1.8474243721106243
5, 4, 1.2889355191997167
5, 14, 0.7869187366242598
6, 22, 2.2986325548654283
6, 10, 3.61030027586123
6, 4, 1.565604582471725
6, 12, 2.85905432249075
6, 6, 0.9887908732029398
6, 15, 2.3600994363668137
6, 19, 1.8243683525698988
6, 3, 1.9279935259373806
6, 14, 2.5886778739156746
6, 11, 2.5303746564823553
6, 18, 3.3771791695316566
6, 26, 2.4753860332185855
6, 16, 4.824505953755775
6, 21, 2.1640249480281666
6, 1, 2.042349200933743
6, 23, 3.35549322627954
6, 13, 1.5836001866863272
6, 25, 2.6648169849822336
6, 9, 0.5856638026523616
6, 2, 1.4217647209049513
6, 0, 3.61030027586123
6, 5, 2.0108130855517627
6, 20, 1.8214361626160986
6, 8, 0.991740997524211
6, 7, 2.2364477019674367
6, 17, 1.9279935259373806
6, 24, 1.5353893461306507
7, 0, 1.386814243922897
7, 3, 0.6368608189408116
7, 1, 1.0390419005886384
7, 2, 1.9369109987463662
8, 82, 9.151525948822664
8, 269, 6.383924850855054
8, 163, 11.501555284042803
8, 8, 14.655325978470326
8, 242, 19.390618401953333
8, 29, 13.209163381767818
8, 58, 6.291078590002273
8, 44, 9.546740217312543
8, 159, 4.706917428274122
8, 85, 10.039209714544763
8, 59, 9.226259753055082
8, 240, 6.473287962389316
8, 34, 12.715917841733152
8, 30, 5.966827292471004
8, 131, 6.476088157180316
8, 260, 2.547694904790748
8, 195, 8.764154375141556
8, 87, 7.950766410472003
8, 231, 9.926695803742783
8, 212, 13.68658260220876
8, 38, 8.433891988466911
8, 67, 7.664410541183252
8, 197, 4.029231603571167
8, 70, 4.683160132989284
8, 93, 7.143623969699814
8, 80, 9.454229801808445
8, 100, 8.827754358121954
8, 276, 2.741946218149907
8, 91, 11.034726053485707
8, 164, 2.630567639691837
8, 62, 7.887427480269736
8, 173, 9.619402544063377
8, 133, 12.903710719283712
8, 244, 6.910345247804714
8, 97, 5.266073836363022
8, 134, 11.80264913457257
8, 245, 7.558920128609666
8, 129, 9.130687706497678
8, 169, 3.4482359129300844
8, 83, 10.824914871920916
8, 60, 2.759742833371973
8, 20, 15.4730592904673
8, 25, 1.892806902578399
8, 151, 4.959258649146874
8, 174, 15.240203710797768
8, 223, 12.877342987115135
8, 243, 6.2064265821574
8, 11, 15.704270912356979
8, 96, 9.634620000534426
8, 190, 10.393503263547617
8, 119, 6.291078590002273
8, 262, 7.299863607053274
8, 213, 7.20648507061846
8, 69, 4.706917428274122
8, 214, 6.316189711852358
8, 209, 14.642512387574772
8, 106, 9.034806922289276
8, 183, 9.609149550575882
8, 104, 4.117323746276152
8, 63, 5.362021625720563
8, 127, 9.584830280078075
8, 52, 8.966028222828538
8, 237, 6.628493228487559
8, 101, 2.0662012874535804
8, 121, 1.061563240355313
8, 12, 12.43867397122532
8, 2, 2.1259947727660093
8, 225, 1.257235224639357
8, 37, 10.867551318207594
8, 186, 13.65230860977134
8, 265, 5.288765738065889
8, 117, 10.05926903179996
8, 120, 3.9445249368055313
8, 54, 9.760420539891992
8, 61, 6.212033051099933
8, 184, 10.537693177201614
8, 207, 4.1077692812808575
8, 103, 4.922305230427809
8, 6, 8.853491349295776
8, 130, 10.075767142141567
8, 203, 7.802509881368489
8, 224, 4.947814554956097
8, 179, 1.661814077021226
8, 171, 13.202517589343561
8, 23, 23.484622912943863
8, 75, 9.868253703751254
8, 215, 6.120573154548206
8, 53, 6.520336025267815
8, 84, 5.114136096383653
8, 273, 8.324110803777131
8, 45, 8.425703809875305
8, 230, 10.55444138600942
8, 22, 11.564622574618065
8, 208, 6.520336025267815
8, 49, 1.5264303121070673
